PID,POS,X,Y
28,2,-124.29212776300,40.08457238730
28,3,-123.95885084400,39.69599958030
28,4,-123.92441466500,38.92314435860
28,5,-123.58349925200,38.56364287490
28,6,-123.41109239300,38.13527429240
28,7,-123.49236301500,38.02153737980
28,8,-123.02058960900,37.62268038430
28,9,-122.97386820100,37.55413764820
28,10,-122.63082835100,37.04540591360
28,11,-122.34820882200,36.94419862940
28,12,-122.26476710400,36.94984051600
28,13,-122.39816875500,37.02984878860
28,14,-122.62629582600,37.07426009310
28,15,-122.94160035300,37.56682781430
28,16,-122.98645172700,37.63616923230
28,17,-123.44509163900,38.04743745390
28,18,-123.34278744900,38.09394098200
28,19,-123.51404609100,38.51679392740
28,20,-123.90227210600,38.91894659580
28,21,-123.93287791400,39.75491608650
28,22,-124.24691743500,40.08774076010
29,1,-121.96735352500,36.53822600470
29,2,-121.98017176400,36.52924363860
29,3,-122.02258237400,36.28822317100
29,4,-121.89836194600,36.24456161190
29,5,-121.63812870500,36.07676170910
29,6,-121.32481264400,35.63539976820
29,7,-121.13117033700,35.48951748220
29,8,-121.09566957000,35.49114074750
29,9,-121.31261206900,35.65263520260
29,10,-121.61103710300,36.07249833510
29,11,-121.89979110600,36.26393594590
29,12,-121.99642179000,36.29790600330
29,13,-121.96735352500,36.53822600470
30,1,-121.13117033700,35.48951748220
30,2,-120.90895468000,35.15269627720
30,3,-120.84090970400,34.65283568780
30,4,-120.73590937400,34.50742306540
30,5,-120.60841820400,34.44760256250
30,6,-120.57004601600,34.44864631730
30,7,-120.71848913800,34.52101286840
30,8,-120.81122295000,34.66435499330
30,9,-120.87803057900,35.14623195020
30,10,-120.97195789900,35.28917244410
30,11,-121.09566957000,35.49114074750
30,12,-121.13117033700,35.48951748220
31,1,-120.99157492500,34.43632102700
31,2,-120.97953434200,34.35648512850
31,3,-120.58053792700,34.38883680900
31,4,-120.60841820400,34.44760256250
31,5,-120.75056473000,34.44359955630
31,6,-120.99157492500,34.43632102700
32,1,-121.33132366400,35.48011802860
32,2,-121.14856880600,35.17348059140
32,3,-121.17559988300,34.86817959930
32,4,-120.75056473000,34.44359955630
32,5,-120.60841820400,34.44760256250
32,6,-120.73590937400,34.50742306540
32,7,-120.84090970400,34.65283568780
32,8,-120.90895468000,35.15269627720
32,9,-121.13117033700,35.48951748220
32,10,-121.33132366400,35.48011802860
33,1,-122.00852171000,36.54722712470
33,2,-122.12208863100,36.35803629030
33,3,-121.99790874600,36.22837423080
33,4,-121.90007476900,36.22224952160
33,5,-121.65738489000,36.06472195990
33,6,-121.56097028400,35.83027700440
33,7,-121.33132366400,35.48011802860
33,8,-121.13117033700,35.48951748220
33,9,-121.32481264400,35.63539976820
33,10,-121.63812870500,36.07676170910
33,11,-121.89836194600,36.24456161190
33,12,-122.02258237400,36.28822317100
33,13,-121.98017176400,36.52924363860
33,14,-122.00852171000,36.54722712470
34,1,-124.29212776300,40.08457238730
34,2,-124.33481429400,40.08156253410
34,3,-123.99799188700,39.65347253720
34,4,-123.98368406900,38.93620176340
34,5,-123.49232077600,38.23282206860
34,6,-123.53713340900,38.04146959990
34,7,-123.44276429000,37.88193997380
34,8,-123.13259107500,37.68440202270
34,9,-122.98918386200,37.43598849090
34,10,-122.91368798900,37.14893478570
34,11,-122.67072199600,37.02023704690
34,12,-122.40985120100,36.93998458190
34,13,-122.34820882200,36.94419862940
34,14,-122.63082835100,37.04540591360
34,15,-122.97386820100,37.55413764820
34,16,-123.02058960900,37.62268038430
34,17,-123.49236301500,38.02153737980
34,18,-123.41109239300,38.13527429240
34,19,-123.58349925200,38.56364287490
34,20,-123.92441466500,38.92314435860
34,21,-123.95885084400,39.69599958030
34,22,-124.29212776300,40.08457238730
35,1,-124.58196961900,40.41582363340
35,2,-124.60862323500,40.41619436730
35,3,-124.46832698300,40.29325034380
35,4,-124.81771487600,40.31773220840
35,5,-124.33481429400,40.08156253410
35,6,-124.29212776300,40.08457238730
35,7,-124.57105695100,40.28181815820
35,8,-124.43472436600,40.27360190110
35,9,-124.46665635300,40.36554361310
35,10,-124.58196961900,40.41582363340
36,1,-124.85891416600,42.99350866000
36,2,-124.90316167700,42.99031470680
36,3,-124.87424943400,42.73760249220
36,4,-124.77326110200,42.62656490330
36,5,-124.84744843300,42.48923685230
36,6,-124.63046507900,41.97889182580
36,7,-124.55814389100,41.56750383060
36,8,-124.42189781800,41.09876137690
36,9,-124.68044506900,40.57865861450
36,10,-124.60862323500,40.41619436730
36,11,-124.58196961900,40.41582363340
36,12,-124.65095030100,40.58081994790
36,13,-124.45993194900,40.79434557390
36,14,-124.35485004100,41.13990381030
36,15,-124.58043021700,41.98243985400
36,16,-124.61673198600,42.31914146560
36,17,-124.80484048900,42.49231831830
36,18,-124.71446588200,42.55340578190
36,19,-124.77768391200,42.89469449380
36,20,-124.85891416600,42.99350866000
37,1,-124.39074615600,46.27182046820
37,2,-124.63692226900,46.25584644830
37,3,-124.78335112700,46.03493487220
37,4,-124.70767610300,44.96393032190
37,5,-124.92856244000,44.92575491540
