"","x"
"362","Pisciv_D_Fish4_ResN"
"363","Pisciv_D_Fish5_ResN"
"364","Pisciv_D_Fish6_ResN"
"365","Pisciv_D_Fish7_ResN"
"366","Pisciv_D_Fish8_ResN"
"367","Pisciv_D_Fish9_ResN"
"368","Pisciv_D_Fish10_ResN"
"369","Pisciv_T_Fish1_ResN"
"370","Pisciv_T_Fish2_ResN"
"371","Pisciv_T_Fish3_ResN"
"372","Pisciv_T_Fish4_ResN"
"373","Pisciv_T_Fish5_ResN"
"374","Pisciv_T_Fish6_ResN"
"375","Pisciv_T_Fish7_ResN"
"376","Pisciv_T_Fish8_ResN"
"377","Pisciv_T_Fish9_ResN"
"378","Pisciv_T_Fish10_ResN"
"379","Pisciv_B_Fish1_ResN"
"380","Pisciv_B_Fish2_ResN"
"381","Pisciv_B_Fish3_ResN"
"382","Pisciv_B_Fish4_ResN"
"383","Pisciv_B_Fish5_ResN"
"384","Pisciv_B_Fish6_ResN"
"385","Pisciv_B_Fish7_ResN"
"386","Pisciv_B_Fish8_ResN"
"387","Pisciv_B_Fish9_ResN"
"388","Pisciv_B_Fish10_ResN"
"389","Mesopel_M_Fish1_ResN"
"390","Mesopel_M_Fish2_ResN"
"391","Mesopel_M_Fish3_ResN"
"392","Mesopel_M_Fish4_ResN"
"393","Mesopel_M_Fish5_ResN"
"394","Mesopel_M_Fish6_ResN"
"395","Mesopel_M_Fish7_ResN"
"396","Mesopel_M_Fish8_ResN"
"397","Mesopel_M_Fish9_ResN"
"398","Mesopel_M_Fish10_ResN"
"399","Benthopel_Fish1_ResN"
"400","Benthopel_Fish2_ResN"
"401","Benthopel_Fish3_ResN"
"402","Benthopel_Fish4_ResN"
"403","Benthopel_Fish5_ResN"
"404","Benthopel_Fish6_ResN"
"405","Benthopel_Fish7_ResN"
"406","Benthopel_Fish8_ResN"
"407","Benthopel_Fish9_ResN"
"408","Benthopel_Fish10_ResN"
"409","Demersal_S_Fish1_ResN"
"410","Demersal_S_Fish2_ResN"
"411","Demersal_S_Fish3_ResN"
"412","Demersal_S_Fish4_ResN"
"413","Demersal_S_Fish5_ResN"
"414","Demersal_S_Fish6_ResN"
"415","Demersal_S_Fish7_ResN"
"416","Demersal_S_Fish8_ResN"
"417","Demersal_S_Fish9_ResN"
"418","Demersal_S_Fish10_ResN"
"419","Demersal_D_Fish1_ResN"
"420","Demersal_D_Fish2_ResN"
"421","Demersal_D_Fish3_ResN"
"422","Demersal_D_Fish4_ResN"
"423","Demersal_D_Fish5_ResN"
"424","Demersal_D_Fish6_ResN"
"425","Demersal_D_Fish7_ResN"
"426","Demersal_D_Fish8_ResN"
"427","Demersal_D_Fish9_ResN"
"428","Demersal_D_Fish10_ResN"
"429","Demersal_B_Fish1_ResN"
"430","Demersal_B_Fish2_ResN"
"431","Demersal_B_Fish3_ResN"
"432","Demersal_B_Fish4_ResN"
"433","Demersal_B_Fish5_ResN"
"434","Demersal_B_Fish6_ResN"
"435","Demersal_B_Fish7_ResN"
"436","Demersal_B_Fish8_ResN"
"437","Demersal_B_Fish9_ResN"
"438","Demersal_B_Fish10_ResN"
"439","Demersal_DC_Fish1_ResN"
"440","Demersal_DC_Fish2_ResN"
"441","Demersal_DC_Fish3_ResN"
"442","Demersal_DC_Fish4_ResN"
"443","Demersal_DC_Fish5_ResN"
"444","Demersal_DC_Fish6_ResN"
"445","Demersal_DC_Fish7_ResN"
"446","Demersal_DC_Fish8_ResN"
"447","Demersal_DC_Fish9_ResN"
"448","Demersal_DC_Fish10_ResN"
"449","Demersal_O_Fish1_ResN"
"450","Demersal_O_Fish2_ResN"
"451","Demersal_O_Fish3_ResN"
"452","Demersal_O_Fish4_ResN"
"453","Demersal_O_Fish5_ResN"
"454","Demersal_O_Fish6_ResN"
"455","Demersal_O_Fish7_ResN"
"456","Demersal_O_Fish8_ResN"
"457","Demersal_O_Fish9_ResN"
"458","Demersal_O_Fish10_ResN"
"459","Demersal_E_Fish1_ResN"
"460","Demersal_E_Fish2_ResN"
"461","Demersal_E_Fish3_ResN"
"462","Demersal_E_Fish4_ResN"
"463","Demersal_E_Fish5_ResN"
"464","Demersal_E_Fish6_ResN"
"465","Demersal_E_Fish7_ResN"
"466","Demersal_E_Fish8_ResN"
